phi,coronal,sagittal
0.499286,0.712681,0.554702
0.5,0.698208,0.411156
0.500714,0.721078,0.463297
0.501429,0.677473,0.609331
0.502143,0.36734,0.580673
0.502857,0.735828,0.418231
0.503571,0.75548,0.475296
0.504286,0.696664,0.611893
0.505,0.71057,0.563262
0.505714,0.703514,0.420981
0.506429,0.68607,0.601256
0.507143,0.702214,0.434277
0.507857,0.384716,0.626742
0.508571,0.748287,0.444843
0.509286,0.708322,0.602195
0.51,0.726603,0.448332
0.510714,0.68231,0.618104
0.511429,0.695384,0.57596
0.512143,0.701431,0.434544
0.512857,0.385534,0.630529
0.513571,0.754017,0.452576
0.514286,0.702032,0.610658
0.515,0.730033,0.457489
0.515714,0.676887,0.627674
0.516429,0.692383,0.58602
0.517143,0.705508,0.445893
0.517857,0.387696,0.641237
0.518571,0.751869,0.462948
0.519286,0.70103,0.621397
0.52,0.697768,0.594118
0.520714,0.717336,0.454179
0.521429,0.66855,0.634595
0.522143,0.381389,0.61479
0.522857,0.766871,0.464861
0.523571,0.696476,0.624075
0.524286,0.74068,0.477381
0.525,0.669573,0.646803
0.525714,0.682692,0.609187
0.526429,0.717762,0.465818
0.527143,0.395169,0.660191
0.527857,0.713482,0.599044
0.528571,0.749877,0.48081
0.529286,0.677039,0.635611
0.53,0.682035,0.620287
0.530714,0.724966,0.479257
0.531429,0.656086,0.65577
0.532143,0.387975,0.638734
0.532857,0.76418,0.487376
0.533571,0.679533,0.654618
0.534286,0.697924,0.618425
0.535,0.685821,0.614985
0.535714,0.733172,0.48678
0.536429,0.656012,0.664456
0.537143,0.395139,0.648401
0.537857,0.77051,0.499495
0.538571,0.681025,0.653936
0.539286,0.692901,0.635717
0.54,0.686163,0.627038
0.540714,0.743911,0.50494
0.541429,0.650636,0.676447
0.542143,0.665052,0.643894
0.542857,0.396445,0.650959
0.543571,0.777332,0.510195
0.544286,0.672248,0.675738
0.545,0.681952,0.648673
0.545714,0.690588,0.633577
0.546429,0.680527,0.636028
0.547143,0.755831,0.520147
0.547857,0.649083,0.684833
0.548571,0.662666,0.656014
0.549286,0.405088,0.665443
0.55,0.704782,0.630238
0.550714,0.782446,0.534263
0.551429,0.661799,0.690902
0.552143,0.673324,0.664215
0.552857,0.676056,0.655998
0.553571,0.683762,0.647554
0.554286,0.676743,0.651706
0.555,0.673641,0.651774
0.555714,0.766177,0.542106
0.556429,0.645452,0.697896
0.557143,0.65872,0.672928
0.557857,0.417037,0.685926
0.558571,0.70751,0.647113
0.559286,0.697434,0.653783
0.56,0.691313,0.656938
0.560714,0.687006,0.65878
0.561429,0.683716,0.660269
0.562143,0.6812,0.661662
0.562857,0.67936,0.66303
0.563571,0.678122,0.664397
0.564286,0.677317,0.665618
0.565,0.676897,0.666963
0.565714,0.676843,0.668368
0.566429,0.677103,0.669801
0.567143,0.677602,0.671264
0.567857,0.678274,0.672753
0.568571,0.679057,0.674269
0.569286,0.670883,0.68082
0.57,0.682598,0.674452
0.570714,0.671975,0.683554
0.571429,0.685019,0.676711
0.572143,0.672306,0.687221
0.572857,0.675142,0.686132
0.573571,0.689329,0.679175
0.574286,0.673269,0.69268
0.575,0.691457,0.682147
0.575714,0.672347,0.696852
0.576429,0.675909,0.694451
0.577143,0.695487,0.684101
0.577857,0.672438,0.702052
0.578571,0.676282,0.699099
0.579286,0.69859,0.686906
0.58,0.671924,0.707353
0.580714,0.676215,0.703656
0.581429,0.701442,0.689698
0.582143,0.671156,0.712421
0.582857,0.675918,0.708026
0.583571,0.704156,0.692472
0.584286,0.670303,0.717249
0.585,0.675542,0.712213
0.585714,0.678272,0.711424
0.586429,0.707847,0.695377
0.587143,0.670808,0.723224
0.587857,0.67644,0.71755
0.588571,0.710685,0.698421
0.589286,0.669492,0.727999
0.59,0.675683,0.721681
0.590714,0.678965,0.720252
0.591429,0.714568,0.700958
0.592143,0.67009,0.733526
0.592857,0.676644,0.726666
0.593571,0.680065,0.725099
0.594286,0.718456,0.703794
0.595,0.670302,0.739212
0.595714,0.677177,0.732016
0.596429,0.680801,0.730301
0.597143,0.722426,0.706611
0.597857,0.670388,0.744779
0.598571,0.677535,0.737395
0.599286,0.725264,0.709746
0.6,0.668447,0.749015
0.600714,0.675772,0.74214
0.601429,0.68022,0.739957
0.602143,0.729807,0.711963
0.602857,0.66985,0.753748
0.603571,0.677607,0.746547
0.604286,0.682299,0.74439
0.605,0.734964,0.714126
0.605714,0.671404,0.758728
0.606429,0.67927,0.75175
0.607143,0.684094,0.749658
0.607857,0.740082,0.716321
0.608571,0.672626,0.763856
0.609286,0.680342,0.757412
0.61,0.685249,0.755317
0.610714,0.744635,0.718609
0.611429,0.67325,0.768988
0.612143,0.681242,0.761883
0.612857,0.74662,0.721394
0.613571,0.670062,0.773558
0.614286,0.678998,0.765078
0.615,0.684272,0.762682
0.615714,0.74974,0.722974
0.616429,0.671314,0.776992
0.617143,0.680206,0.768535
0.617857,0.685405,0.766231
0.618571,0.752621,0.725121
0.619286,0.671573,0.78143
0.62,0.680735,0.772468
0.620714,0.686013,0.770018
0.621429,0.756081,0.72729
0.622143,0.672121,0.785892
0.622857,0.681573,0.776592
0.623571,0.686907,0.774123
0.624286,0.758556,0.729979
0.625,0.671343,0.791094
0.625714,0.681141,0.781043
0.626429,0.68664,0.778277
0.627143,0.760818,0.73275
